model,mse,rmse,mae,r2
cnn,0.8351799249649048,0.9138817893824698,0.7020820379257202,0.12882089614868164
gru,0.8496971130371094,0.9217901675745459,0.6937201023101807,0.113677978515625
lstm,0.9897596836090088,0.9948666662467935,0.7883982062339783,-0.03242182731628418
rnn,1.3981982469558716,1.182454331869046,0.9685855507850647,-0.45846545696258545
flat,3.1533052921295166,1.775754851360265,1.5868209600448608,-2.2892239093780518
